Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","18409","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","386","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","9323","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","6621","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","3204","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","628","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","2459","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","1077","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","692","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","2276","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","70","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","53","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","3577","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","1770","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","9200","S","Données standardisées"
